A_x [g]	A_y [g]	A_z [g]
  -0.489829991	   0.324458994	   1.134172978
  -0.631959988	   0.523074990	   1.177848977
  -0.343673993	   0.503920990	   1.035291980
  -0.264739995	   0.391741992	   0.716505986
  -0.373990993	   0.392656992	   0.682955987
  -0.350566993	   0.344222993	   0.516608990
  -0.422973992	   0.149388997	   0.545827989
  -0.529235990	   0.165980997	   0.429256992
  -0.579499989	   0.277000995	   0.409309992
  -0.583830989	   0.135663997	   0.157745997
  -0.377894993	   0.197029996	   0.163052997
  -0.269741995	   0.177509997	   0.204776996
  -0.448898991	   0.161710997	   0.110043998
  -0.840762984	   0.274560995	   0.065513999
  -1.477602971	   0.206423996	  -0.198920996
  -1.998603961	   0.499528990	  -0.016226000
  -1.998603961	   0.781409985	   0.076615999
  -1.998603961	   0.622748988	   0.148351997
  -1.592343969	   0.382835993	   0.097721998
  -0.837834984	   0.148473997	  -0.002135000
  -0.089791998	   0.059413999	  -0.068380999
   0.648246987	  -0.020252000	   0.043553999
   1.103367979	  -0.204227996	   0.149022997
   0.957333982	  -0.370696993	   0.120718998
  -0.626225988	  -0.107725998	   0.017446000
  -1.998603961	   0.596762988	  -0.471956991
  -1.998603961	   1.059508980	  -0.222222996
  -1.998603961	   0.717786986	  -0.083874998
  -1.022054980	   0.330558994	   0.055265999
   0.289810994	  -0.107603998	   0.031414999
   1.092448979	  -0.528747990	   0.087595998
   1.442039972	  -0.624395988	   0.210388996
   0.938423982	  -0.425901992	   0.120047998
  -0.594627989	   0.060633999	  -0.146399997
  -1.998603961	   0.862905983	  -0.350749993
  -1.998603961	   1.167051977	  -0.235764995
  -1.998603961	   0.782080985	  -0.029401999
  -1.262943976	   0.435661992	   0.153658997
   0.223625996	   0.049043999	   0.078567998
   1.154790978	  -0.405527992	  -0.033183999
   1.484251971	  -0.522891990	   0.018666000
   1.013758980	  -0.352884993	   0.039039999
  -0.309818994	   0.004331000	   0.042516999
  -1.998603961	   0.445116991	  -0.014335000
  -1.998603961	   0.644708988	   0.156220997
  -1.998603961	   0.535457990	   0.276573995
  -1.814871965	   0.268399995	   0.267606995
  -0.289444994	   0.280843995	   0.110348998
   0.906947982	   0.031170999	  -0.019215000
   1.474735972	  -0.314149994	   0.007503000
   1.265993976	  -0.381310993	   0.000000000
   0.176899997	  -0.127306998	  -0.036965999
  -1.607166969	   0.264678995	   0.099978998
  -1.998603961	   0.486352991	   0.128831998
  -1.998603961	   0.504774990	   0.325739994
  -1.998603961	   0.284320995	   0.238448995
  -1.554157970	   0.140970997	   0.125415998
  -0.283710995	   0.127611998	  -0.074419999
   0.817765984	   0.088632998	  -0.054045999
   1.402511973	  -0.019093000	   0.045322999
   1.134965978	  -0.201909996	   0.017690000
   0.275597995	  -0.241132995	  -0.130356997
  -1.326566974	   0.061426999	  -0.060755999
  -1.998603961	   0.302864994	   0.022265000
  -1.998603961	   0.496539990	   0.215573996
  -1.998603961	   0.364901993	   0.235825995
  -1.733436967	   0.278891995	   0.152377997
  -0.650137987	   0.153658997	   0.002196000
   0.454388991	  -0.024705000	  -0.017263000
   1.312170975	  -0.281331995	   0.114435998
   1.519326971	  -0.367768993	   0.313051994
   0.723825986	  -0.347089993	   0.041357999
  -1.159304978	  -0.063012999	  -0.470919991
  -1.998603961	   0.474762991	  -0.919086982
  -1.998603961	   0.748347986	  -0.536982990
  -1.998603961	   0.522708990	  -0.238265995
  -0.872970983	   0.255650995	  -0.046420999
   0.363742993	  -0.202275996	  -0.018605000
   1.187669977	  -0.460732991	   0.160856997
   1.278132975	  -0.477019991	   0.244060995
   0.689665987	  -0.325495994	  -0.031048999
  -0.294141994	   0.101381998	  -0.030987999
  -1.998603961	   0.433343992	  -0.184707996
