Time	A_x [g]	A_y [g]	A_z [g]
 107.668720000	   0.162991997	   0.079543998	   0.987711981
 107.677334000	   0.166895997	   0.079543998	   0.991615981
 107.685948000	   0.177143997	   0.086375998	   0.982343981
 107.694562000	   0.183975996	   0.092719998	   0.992591981
 107.703176000	   0.193247996	   0.098087998	   1.003815981
 107.711790000	   0.199591996	   0.103943998	   1.000399981
 107.720404000	   0.197639996	   0.108335998	   1.003815981
 107.729018000	   0.190319996	   0.102967998	   1.007231981
 107.737632000	   0.183975996	   0.089791998	   0.990639981
 107.746246000	   0.181535996	   0.079543998	   0.971607981
 107.754860000	   0.181535996	   0.067831999	   0.959407981
 107.763474000	   0.189831996	   0.064903999	   0.963799981
 107.772088000	   0.201543996	   0.071735999	   0.953551982
 107.780702000	   0.209351996	   0.078079998	   0.959407981
 107.789316000	   0.210815996	   0.086863998	   0.972095981
 107.797930000	   0.215207996	   0.092719998	   0.983319981
 107.806544000	   0.222527996	   0.101015998	   0.977463981
 107.815158000	   0.229847996	   0.103455998	   0.970143981
 107.823772000	   0.234727995	   0.107359998	   0.969655981
 107.832386000	   0.232287996	   0.109799998	   0.979903981
 107.841000000	   0.228383996	   0.106383998	   0.973559981
 107.849614000	   0.223015996	   0.102479998	   0.972095981
 107.858228000	   0.218135996	   0.102967998	   0.977951981
 107.866842000	   0.213255996	   0.100039998	   0.977463981
 107.875456000	   0.211303996	   0.107847998	   0.982343981
 107.884070000	   0.208863996	   0.119559998	   0.995031981
 107.892684000	   0.206423996	   0.121999998	   0.995031981
 107.901298000	   0.210815996	   0.115167998	   0.986735981
 107.909912000	   0.215695996	   0.110287998	   0.985759981
 107.918526000	   0.219599996	   0.110775998	   0.999911981
 107.927140000	   0.216183996	   0.111263998	   0.994543981
 107.935754000	   0.218135996	   0.113703998	   0.982343981
 107.944368000	   0.219599996	   0.106383998	   0.978439981
 107.952982000	   0.203495996	   0.081007998	   0.981855981
 107.961596000	   0.182999996	   0.056607999	   0.989175981
 107.970210000	   0.163479997	   0.020984000	   0.981855981
 107.978824000	   0.138591997	  -0.034647999	   0.978439981
 107.987438000	   0.104431998	  -0.108335998	   0.987223981
 107.996052000	   0.055143999	  -0.169335997	   0.969167981
 108.004666000	   0.078079998	  -0.221063996	   0.985271981
 108.013280000	   0.067831999	  -0.231311996	   1.051151980
 108.021894000	   0.065879999	  -0.292311994	   1.033583980
 108.030508000	   0.102967998	  -0.301583994	   1.098975979
 108.039122000	   0.109799998	  -0.328911994	   1.133623978
 108.047736000	   0.103943998	  -0.380639993	   1.165343978
 108.056350000	   0.108823998	  -0.438223992	   1.207799977
 108.064964000	   0.086863998	  -0.485559991	   1.254647976
 108.073578000	   0.044895999	  -0.549975989	   1.253671976
 108.082192000	   0.011712000	  -0.646599988	   1.193159977
 108.090806000	  -0.013176000	  -0.689543987	   1.138991978
 108.099420000	   0.017568000	  -0.670023987	   1.029679980
 108.108034000	   0.082471998	  -0.576327989	   0.928663982
 108.116648000	   0.147375997	  -0.512887990	   0.906215983
 108.125262000	   0.163479997	  -0.504103990	   0.963799981
 108.133876000	   0.162015997	  -0.451887991	   1.034071980
 108.142490000	   0.151279997	  -0.399183992	   1.078967979
 108.151104000	   0.118095998	  -0.353311993	   1.088239979
 108.159718000	   0.101503998	  -0.247415995	   1.064815979
 108.168332000	   0.086863998	  -0.134687997	   1.077991979
 108.176946000	   0.044895999	  -0.060023999	   1.165343978
 108.185560000	   0.001464000	   0.043919999	   1.172663977
 108.194174000	  -0.029279999	   0.110287998	   1.208775977
 108.202788000	  -0.013664000	   0.136639997	   1.140455978
